per_sexo,vive_padre_hogar,vive_madre_hogar,departamento,tipo_vivienda,residentes_hogar,d_01_aporta_dinero_hogar,d_08_estado_salud,d_09_deprimido,d_10_poco_interes,d_11_h_conocimiento_riesgo_fumar_marihuana_frecuentemente,d_11_k_conocimiento_riesgo_cocaina_frecuentemente,d_11_n_conocimiento_riesgo_fumar_basuco_frecuentemente,d_12_b_presenta_problema_consumo_sp_barrio,d_12_c_presenta_problema_expendio_sp_barrio,d2_01_etnia,d2_03_estado_civil,d2_04_num_hijos,d2_05_nivel_educativo,g_01_familiares_consumen_sp,g_02_amigos_consumen_sp,g_03_curiosidad_probar_sp,g_04_probaria_sp,g_05_posibilidad_probar_sp,g_06_a_posibilidad_conseguir_marihuana,g_06_b_posibilidad_conseguir_cocaina,g_06_c_posibilidad_conseguir_basuco,g_06_j_posibilidad_conseguir_heroina,g_07_alguien_ofrecio_comprar_probar_sp,per_edad_tipo,estrato_tipo,situacion_tipo,frecuencia_consumo_marihuana_tipo,frecuencia_consumo_cocaina_tipo,frecuencia_consumo_basuco_tipo,frecuencia_consumo_heroina_tipo,g_01_a_num_familiares_consumen_sp_imp,g_02_a_num_amigos_consumen_sp_imp,g_08_a_ofrecieron_marihuana_imp,g_08_b_ofrecieron_cocaina_imp,g_08_c_ofrecieron_basuco_imp,g_08_e_ofrecieron_heroina_imp
1,2,2,Cundinamarca,2,3,1,5,2,2,4,4,4,1,1,9,2,2,3,1,1,2,2,2,1,1,1,2,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,1,2,10,10,10,10
2,2,1,Risaralda,1,4,1,5,2,2,4,4,4,1,1,9,3,1,6,2,2,1,1,1,1,1,1,1,1,Joven,Estrato bajo,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,3,3,3,2,9,9
2,2,1,Guaviare,2,3,2,5,2,2,4,4,4,1,2,9,6,0,4,2,1,2,2,2,9,9,9,9,2,Adolescente,Estrato bajo,Estudiando,Nunca,Nunca,Nunca,Nunca,3,2,10,10,10,10
1,2,1,Huila,1,3,1,3,2,2,4,4,4,1,2,9,6,0,5,1,2,2,2,2,1,1,1,2,2,Joven,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,1,3,10,10,10,10
2,3,3,Quindio,1,6,1,5,2,2,4,4,4,1,1,9,5,0,7,1,2,2,2,1,1,9,1,9,1,Adulto,Estrato medio,Trabajando,Nunca,Nunca,Nunca,Nunca,2,3,3,9,9,9
1,2,2,Meta,1,1,1,4,2,1,4,4,4,1,2,9,6,3,5,2,2,2,2,1,1,9,9,9,1,Adulto,Estrato medio,Otros,Nunca,Nunca,Nunca,Nunca,3,3,3,9,9,9
2,2,2,Cordoba,2,2,1,3,2,2,4,4,4,2,2,9,2,3,4,2,2,2,2,2,9,9,9,9,2,Adulto,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
1,2,2,La Guajira,2,1,1,5,2,2,4,4,4,1,2,9,5,2,8,2,1,1,2,1,1,1,1,1,1,Adulto,Estrato bajo,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,3,2,3,9,9,9
1,2,2,Santander,1,2,1,4,2,2,1,4,4,1,1,9,1,0,4,2,2,2,2,2,2,2,2,2,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,2,3,Quindio,1,3,1,3,2,2,4,4,4,1,2,9,4,4,3,2,2,2,2,2,2,2,2,2,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
1,2,2,Guaviare,2,3,1,3,2,2,4,4,4,2,2,9,3,2,5,1,1,1,1,1,1,1,1,9,1,Adulto,Estrato bajo,Trabajando,Alguna vez en su vida,Alguna vez en su vida,Nunca,Nunca,1,2,2,2,9,9
2,2,2,Guaviare,2,2,1,4,2,2,4,4,4,1,1,9,5,1,7,2,2,2,2,2,1,1,1,1,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,2,2,Bolivar,1,3,1,4,2,2,4,4,2,1,1,9,2,1,6,2,2,2,2,2,3,3,9,9,2,Joven,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,2,1,Cundinamarca,1,11,2,4,1,1,2,4,4,1,1,9,3,3,5,1,2,1,2,1,1,1,1,9,1,Adulto,Estrato bajo,Buscando trabajo,Alguna vez en su vida,Alguna vez en su vida,Alguna vez en su vida,Nunca,1,3,2,9,9,9
1,2,2,Casanare,3,1,1,2,2,2,3,4,4,1,2,9,4,0,6,1,1,1,1,1,1,9,9,9,1,Adulto,Estrato medio,Trabajando,Algunas veces mensualmente,Nunca,Nunca,Nunca,2,2,2,9,9,9
2,2,1,Tolima,2,6,1,4,2,2,4,4,4,2,2,9,5,2,4,2,2,2,2,2,9,9,9,9,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,2,1,Cundinamarca,2,5,1,4,1,1,4,4,4,1,1,9,5,2,4,1,1,2,2,2,2,2,2,2,1,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,1,2,3,9,9,9
1,2,1,Antioquia,2,4,2,5,2,2,4,4,4,2,2,9,6,0,7,2,1,1,2,1,1,2,2,2,2,Joven,Estrato medio,Estudiando,Nunca,Nunca,Nunca,Nunca,3,1,10,10,10,10
1,3,3,Nariño,1,4,1,4,2,2,4,4,4,1,2,9,3,2,6,2,1,2,2,2,9,9,9,9,2,Adulto,Estrato medio,Trabajando,Nunca,Nunca,Nunca,Nunca,3,2,10,10,10,10
2,3,3,La Guajira,1,4,2,3,1,1,4,4,4,1,2,9,2,2,6,1,2,2,2,2,1,1,1,9,2,Adulto,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,2,3,10,10,10,10
2,3,2,Vichada,1,5,2,3,2,1,4,4,4,1,1,1,5,4,6,2,1,1,2,1,1,2,2,9,1,Adulto,Estrato bajo,Otros,Alguna vez en su vida,Nunca,Nunca,Nunca,3,2,3,9,9,9
1,2,2,Tolima,2,5,1,4,2,2,4,4,4,1,2,9,2,3,3,1,1,1,2,2,1,2,1,9,1,Adulto,Estrato medio,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,1,2,3,9,9,9
2,2,2,Antioquia,1,2,1,3,2,2,4,4,4,1,2,5,5,2,4,2,2,2,2,2,9,9,9,9,2,Adulto,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,2,1,Antioquia,2,6,2,4,1,1,4,4,4,2,2,9,6,1,4,2,1,1,2,1,1,9,9,9,1,Adulto,Estrato bajo,Otros,Alguna vez en su vida,Nunca,Nunca,Nunca,3,1,3,9,9,9
2,2,2,Antioquia,1,3,1,4,2,2,5,4,4,1,1,9,5,2,6,2,2,2,2,2,1,2,2,2,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,2,2,Cordoba,2,2,1,4,2,2,4,4,4,1,1,9,6,1,8,2,2,2,2,2,9,9,9,9,2,Adulto,Estrato medio,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,2,2,Sucre,2,3,1,4,2,2,4,4,4,2,2,1,2,1,5,2,2,2,2,2,2,2,2,2,1,Adulto,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,3,3,3,9,9,9
2,3,2,Cundinamarca,1,4,1,4,2,2,4,4,4,1,1,9,6,3,7,2,2,2,2,2,1,9,9,9,2,Adulto,Estrato medio,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
1,1,1,Cauca,1,3,2,3,1,1,4,4,4,1,1,9,6,0,6,2,2,2,2,2,9,9,9,9,2,Adulto,Estrato medio,Otros,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
1,2,2,Guaviare,1,2,1,4,2,2,4,4,4,2,2,9,2,1,6,2,2,1,2,1,1,1,1,9,1,Adulto,Estrato bajo,Trabajando,Alguna vez en su vida,Alguna vez en su vida,Nunca,Nunca,3,3,3,3,3,9
2,3,3,Atlantico,2,3,1,2,1,1,4,4,4,1,1,9,5,3,4,2,2,2,2,2,1,1,1,9,2,Persona mayor,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
1,1,1,Guaviare,1,6,2,4,2,2,4,4,4,2,2,9,6,0,4,2,1,2,2,2,9,9,9,9,2,Adolescente,Estrato bajo,Estudiando,Nunca,Nunca,Nunca,Nunca,3,2,10,10,10,10
1,3,3,Cauca,3,2,1,2,2,2,4,4,4,1,2,9,6,3,1,2,2,1,2,1,1,1,1,9,2,Adulto,Estrato bajo,Trabajando,Alguna vez en su vida,Alguna vez en su vida,Alguna vez en su vida,Nunca,3,3,10,10,10,10
2,3,2,Caqueta,1,3,1,4,2,2,4,4,4,1,2,9,5,2,7,1,2,2,2,2,1,9,9,9,2,Adulto,Estrato medio,Otros,Nunca,Nunca,Nunca,Nunca,1,3,10,10,10,10
2,2,2,Santander,2,2,2,3,1,1,4,4,4,1,1,9,2,0,5,1,1,2,2,1,2,2,2,2,2,Adulto,Estrato medio,Otros,Nunca,Nunca,Nunca,Nunca,2,2,10,10,10,10
1,2,2,Risaralda,2,1,2,5,2,2,2,4,4,1,2,9,6,0,7,2,1,1,1,1,1,3,2,2,1,Adolescente,Estrato medio,Estudiando,Alguna vez en su vida,Nunca,Nunca,Nunca,3,2,2,9,9,9
2,1,1,Cundinamarca,1,5,2,5,2,2,3,4,4,2,2,9,6,0,7,2,1,1,1,1,1,1,3,9,1,Joven,Estrato alto,Estudiando,Una vez en el año,Algunas veces durante los últimos 12 meses,Nunca,Nunca,3,2,3,3,9,9
1,2,2,Caldas,1,7,2,3,2,2,4,4,4,1,1,9,6,0,7,2,1,1,1,1,1,1,3,3,1,Joven,Estrato medio,Buscando trabajo,Algunas veces semanalmente,Algunas veces semanalmente,Nunca,Nunca,3,1,1,1,9,9
1,1,3,Cundinamarca,1,6,1,4,2,2,4,4,4,1,1,9,6,0,4,1,1,1,2,2,1,1,1,2,1,Adulto,Estrato bajo,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,1,2,2,2,9,9
2,3,3,Risaralda,2,2,1,4,2,2,4,4,4,1,1,9,3,4,3,1,2,1,2,1,1,2,2,2,1,Persona mayor,Estrato bajo,Otros,Alguna vez en su vida,Nunca,Nunca,Nunca,2,3,9,3,9,9
1,2,2,Caldas,2,1,2,4,2,2,4,4,4,1,2,9,1,0,7,2,1,1,2,1,1,1,9,2,1,Joven,Estrato alto,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,3,2,3,3,9,9
2,2,2,Santander,2,5,1,4,2,1,4,4,4,1,2,9,2,3,5,2,1,1,1,1,1,1,1,9,1,Adulto,Estrato medio,Otros,Alguna vez en su vida,Alguna vez en su vida,Nunca,Nunca,3,2,3,3,9,9
1,2,1,Caldas,2,2,2,4,1,1,4,4,4,1,2,9,6,0,4,1,1,1,1,1,1,1,1,3,1,Joven,Estrato medio,Trabajando,Algunas veces semanalmente,Algunas veces mensualmente,Alguna vez en su vida,Nunca,2,2,1,3,3,3
1,2,1,Caqueta,1,3,2,4,2,2,4,4,4,1,1,9,5,0,5,2,2,2,2,2,9,9,9,9,2,Joven,Estrato bajo,Estudiando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,2,1,Risaralda,1,2,2,4,1,2,2,4,4,1,2,9,6,0,5,1,1,1,1,1,1,1,9,9,1,Adolescente,Estrato medio,Buscando trabajo,Diariamente,Nunca,Nunca,Nunca,2,2,3,3,9,9
2,1,3,Arauca,1,5,2,4,2,2,4,4,4,2,2,9,6,0,4,2,2,2,2,2,9,9,9,9,2,Adolescente,Estrato bajo,Estudiando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
1,1,1,Caldas,1,4,2,5,2,1,3,4,4,1,2,9,6,0,7,1,1,1,2,1,1,2,2,3,1,Joven,Estrato bajo,Estudiando,Una vez en el año,Nunca,Nunca,Nunca,1,2,1,9,9,9
1,2,1,Choco,1,2,2,4,1,1,2,4,4,1,1,5,6,0,3,2,1,1,1,1,1,1,2,2,1,Adolescente,Estrato bajo,Otros,Alguna vez en su vida,Una vez en el año,Nunca,Nunca,3,2,1,1,9,9
1,3,3,Choco,1,7,1,2,1,1,4,4,4,1,1,5,3,9,3,1,1,2,2,2,9,9,9,9,2,Persona mayor,Estrato bajo,Buscando trabajo,Nunca,Nunca,Nunca,Nunca,2,2,10,10,10,10
2,3,3,Guaviare,1,4,1,2,1,1,4,4,4,1,2,9,5,5,1,2,2,2,2,2,9,9,9,9,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,3,1,Cundinamarca,2,5,2,3,1,1,4,4,4,1,2,9,4,4,4,1,2,1,2,1,1,1,1,9,1,Persona mayor,Estrato medio,Otros,Alguna vez en su vida,Nunca,Alguna vez en su vida,Nunca,1,3,3,9,3,9
1,3,2,Cundinamarca,2,5,1,4,2,2,3,4,4,1,2,9,3,3,3,1,1,1,2,1,1,2,1,9,1,Adulto,Estrato bajo,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,1,2,3,9,9,9
2,2,2,Antioquia,2,2,1,2,2,2,4,4,4,2,2,9,2,0,8,2,2,2,1,2,1,3,3,3,1,Adulto,Estrato alto,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,3,3,2,9,9,9
2,2,2,Boyaca,2,1,1,4,1,1,4,4,4,1,1,5,6,0,3,2,1,1,2,1,1,1,1,1,1,Adulto,Estrato bajo,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,3,2,3,9,9,9
1,1,1,Cundinamarca,1,4,1,5,1,2,2,4,4,1,1,9,6,0,8,2,1,1,1,1,1,3,9,3,1,Joven,Estrato medio,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,3,1,3,9,9,9
1,3,1,Sucre,1,3,2,4,2,2,4,4,4,2,2,5,6,0,5,2,1,2,2,2,1,1,9,9,2,Joven,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,3,2,10,10,10,10
2,3,3,Cordoba,2,4,1,4,1,2,4,4,4,1,1,9,3,2,6,2,1,2,2,2,9,9,9,9,2,Adulto,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,3,1,10,10,10,10
1,2,2,Cundinamarca,2,1,1,4,2,2,4,4,4,1,1,9,2,3,4,2,1,1,1,1,1,1,1,3,1,Adulto,Estrato bajo,Trabajando,Alguna vez en su vida,Alguna vez en su vida,Alguna vez en su vida,Nunca,3,2,3,3,3,9
2,2,3,Casanare,1,2,1,4,2,2,4,4,4,1,2,9,1,1,5,2,2,2,2,2,3,3,3,3,2,Joven,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
1,2,2,Atlantico,2,3,1,4,2,2,4,4,4,1,1,9,2,2,4,1,1,1,2,1,1,1,1,1,1,Adulto,Estrato bajo,Trabajando,Nunca,Alguna vez en su vida,Nunca,Nunca,2,2,9,3,9,9
1,2,2,Santander,2,3,1,5,1,2,4,4,4,1,1,9,3,2,7,1,2,1,2,1,1,1,1,9,1,Adulto,Estrato medio,Trabajando,Alguna vez en su vida,Alguna vez en su vida,Nunca,Nunca,1,3,3,3,3,9
2,3,2,Cundinamarca,3,3,1,2,1,1,4,4,4,1,1,9,5,5,5,1,1,2,2,2,1,1,1,3,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,2,2,10,10,10,10
1,2,1,Tolima,2,3,1,4,2,2,4,4,4,1,2,9,6,0,7,1,1,2,2,2,9,9,9,9,1,Joven,Estrato medio,Trabajando,Nunca,Nunca,Nunca,Nunca,2,2,3,9,9,9
1,2,2,Quindio,1,3,1,4,1,2,4,4,4,2,2,9,3,1,7,1,2,2,2,1,1,1,9,9,1,Adulto,Estrato medio,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,1,3,3,3,9,9
2,3,3,Antioquia,2,4,1,4,1,1,4,4,4,1,1,9,3,3,4,1,1,1,2,1,1,1,1,1,1,Adulto,Estrato medio,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,1,2,3,3,3,9
2,2,2,Cundinamarca,2,2,1,5,1,1,4,4,4,1,1,9,5,1,5,1,1,1,1,1,1,1,1,2,1,Adulto,Estrato bajo,Otros,Alguna vez en su vida,Nunca,Nunca,Nunca,2,2,1,3,3,9
2,1,1,Valle,1,3,1,4,2,2,4,4,4,1,1,9,6,0,6,2,2,2,2,2,1,1,1,1,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
1,3,2,Quindio,1,5,1,3,2,2,4,4,4,2,2,9,3,2,4,2,2,1,2,2,1,1,1,2,1,Adulto,Estrato medio,Trabajando,Nunca,Alguna vez en su vida,Nunca,Nunca,3,3,9,3,3,9
2,3,2,Atlantico,1,5,2,4,2,2,4,4,5,2,2,9,3,2,4,2,2,2,2,2,3,3,3,9,2,Adulto,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,2,1,Nariño,2,5,1,4,2,2,4,4,4,1,1,1,5,1,6,2,2,1,2,1,9,9,9,9,1,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,3,9,9,9
1,3,3,Caldas,2,1,1,3,1,1,1,3,3,1,1,9,6,1,3,1,1,1,1,2,1,1,1,2,1,Adulto,Estrato bajo,Buscando trabajo,Diariamente,Nunca,Algunas veces semanalmente,Nunca,2,2,3,9,9,9
2,3,1,Bolivar,1,4,2,5,2,2,4,4,4,1,1,5,6,0,5,2,2,2,2,2,1,3,3,3,2,Persona mayor,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
1,2,2,Caldas,2,6,1,4,2,2,3,4,4,1,2,9,6,0,5,1,1,1,1,1,9,9,9,9,2,Adulto,Estrato bajo,Trabajando,Diariamente,Una vez en el año,Alguna vez en su vida,Alguna vez en su vida,1,1,10,10,10,10
2,1,1,Cundinamarca,2,3,1,4,2,2,4,4,4,1,2,9,6,0,8,1,2,2,2,1,3,3,3,3,1,Adulto,Estrato medio,Trabajando,Nunca,Nunca,Nunca,Nunca,2,3,9,3,9,9
2,2,2,Cordoba,1,2,1,4,2,2,4,4,4,2,2,9,5,2,5,2,2,2,2,2,9,9,9,9,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,2,2,Cundinamarca,1,2,2,3,1,1,4,4,4,1,1,9,6,3,3,1,2,2,2,2,1,1,1,9,2,Adulto,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,2,3,10,10,10,10
1,2,2,Cordoba,2,3,1,4,2,2,4,4,4,1,1,5,2,2,6,1,1,1,2,2,1,9,1,2,1,Adulto,Estrato bajo,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,2,2,3,9,9,9
1,1,1,Antioquia,2,12,1,5,2,1,4,4,4,2,2,9,6,1,3,1,1,1,1,2,1,3,3,3,2,Adulto,Estrato bajo,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,2,2,10,10,10,10
2,2,1,La Guajira,1,4,1,3,2,2,4,4,4,1,2,5,5,2,6,2,2,2,2,2,2,2,2,2,2,Adulto,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,3,2,Cesar,1,5,1,4,1,1,4,4,4,2,2,9,2,1,3,2,2,2,2,2,9,9,9,9,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,3,3,Valle,2,1,1,3,2,2,4,4,4,1,2,5,4,1,1,1,1,2,2,1,1,9,9,9,1,Persona mayor,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,2,2,3,3,9,9
1,2,2,Antioquia,1,3,1,4,2,2,4,4,4,1,2,9,3,1,6,2,1,1,2,1,1,1,1,9,1,Adulto,Estrato medio,Trabajando,Alguna vez en su vida,Nunca,Alguna vez en su vida,Nunca,3,2,2,9,9,9
1,2,2,Cundinamarca,2,1,1,4,2,1,2,4,4,1,1,9,6,0,7,2,1,1,1,1,1,1,2,2,1,Adulto,Estrato medio,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,3,1,1,1,3,9
1,2,2,Huila,1,3,1,4,1,2,3,4,4,1,2,9,2,0,7,2,1,1,2,1,1,1,1,9,1,Adulto,Estrato medio,Trabajando,Nunca,Nunca,Nunca,Nunca,3,2,3,3,3,3
1,3,3,La Guajira,2,5,1,3,1,1,4,4,4,2,2,9,2,3,5,1,2,1,1,1,9,9,9,9,1,Adulto,Estrato bajo,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,2,3,3,9,9,9
1,1,1,Antioquia,2,5,2,5,2,2,5,5,5,1,1,9,6,0,4,2,2,2,2,2,9,9,9,9,2,Adolescente,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,2,2,Bolivar,1,3,2,3,2,2,4,4,4,2,2,5,3,3,3,2,2,2,2,2,2,2,2,2,2,Adulto,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,2,2,Antioquia,3,3,2,5,2,2,4,4,4,1,1,5,2,1,6,2,2,2,2,2,1,2,2,2,2,Joven,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
1,1,1,Atlantico,1,11,2,4,2,2,4,4,4,2,2,9,3,1,6,2,2,2,2,2,9,9,9,9,2,Joven,Estrato bajo,Buscando trabajo,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
1,3,2,Meta,1,8,2,5,2,2,4,4,4,2,2,9,2,5,7,2,2,2,2,2,9,9,9,9,2,Adulto,Estrato medio,Buscando trabajo,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,2,2,Bolivar,2,4,1,3,2,2,4,4,4,1,1,9,2,2,5,2,2,2,2,2,1,1,2,9,1,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,3,9,9,9
1,2,2,Antioquia,2,3,1,4,2,2,3,4,4,1,1,9,2,1,7,2,1,1,1,1,1,1,1,1,1,Adulto,Estrato medio,Trabajando,Diariamente,Nunca,Nunca,Nunca,3,2,1,9,9,9
2,2,2,Santander,2,1,1,5,2,2,4,4,4,2,2,9,6,0,5,2,2,2,2,2,9,9,9,9,2,Adulto,Estrato medio,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
1,3,2,Meta,1,2,1,4,2,2,4,4,4,1,1,9,2,3,6,2,2,2,2,2,1,1,1,9,2,Adulto,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,2,2,Nariño,2,2,1,4,2,2,4,4,4,1,2,9,5,1,5,2,2,1,2,1,1,9,1,9,1,Joven,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,3,9,9,9
2,2,2,Guainia,2,4,1,3,2,2,4,4,4,2,2,1,6,5,6,2,2,2,2,2,9,9,9,9,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,3,3,Boyaca,2,2,2,2,1,1,3,4,4,1,2,9,3,1,4,2,2,2,2,1,1,9,2,9,1,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,9,9,3,9
1,3,2,Choco,1,3,1,3,2,2,4,4,4,1,2,5,2,5,5,2,2,2,2,2,9,9,9,9,1,Persona mayor,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,3,9,9,9
1,2,2,Huila,2,4,1,4,2,2,4,4,4,1,1,9,2,2,6,2,2,2,2,2,1,9,9,9,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
1,2,1,Cundinamarca,2,4,1,3,2,1,3,4,4,1,1,9,6,0,5,2,1,1,2,1,1,3,3,3,1,Joven,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,2,3,9,9,9
1,2,2,La Guajira,1,4,1,5,2,2,4,4,4,1,1,9,3,2,3,2,2,1,2,1,1,9,9,9,1,Adulto,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,3,3,3,9,3,9
2,2,2,Atlantico,1,6,1,4,2,2,4,4,4,2,2,9,2,3,5,2,2,2,2,2,9,9,9,9,2,Joven,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
1,3,3,Caqueta,1,1,1,3,2,2,4,4,4,1,1,9,6,0,5,2,1,1,1,1,1,1,1,1,1,Adulto,Estrato bajo,Buscando trabajo,Alguna vez en su vida,Alguna vez en su vida,Nunca,Nunca,3,2,2,2,3,9
2,2,2,Risaralda,2,5,1,4,2,2,4,4,4,1,2,9,2,2,5,1,2,2,2,1,1,1,1,9,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,1,3,10,10,10,10
1,2,2,Bolivar,2,6,1,4,1,2,4,4,4,1,1,9,2,3,5,2,2,2,2,2,3,9,9,9,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
1,3,3,Bolivar,1,2,1,4,1,2,4,4,4,2,2,9,3,0,3,2,2,2,2,2,3,3,3,3,2,Persona mayor,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,10,10,10,10
2,3,2,Meta,1,4,1,3,1,1,4,4,4,1,1,9,2,3,5,1,2,2,2,2,9,9,9,9,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,2,3,10,10,10,10
1,3,2,Nariño,2,4,1,4,2,2,4,4,4,2,2,1,1,2,3,2,2,2,2,1,3,3,3,3,1,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,3,3,9,9
1,3,2,Valle,1,3,1,3,1,1,4,4,4,2,2,9,3,3,5,2,1,1,2,1,2,2,2,2,1,Persona mayor,Estrato medio,Trabajando,Alguna vez en su vida,Nunca,Nunca,Nunca,3,2,3,9,9,9
1,3,2,Tolima,1,4,1,4,2,2,4,4,4,2,2,9,3,1,5,2,1,2,2,2,1,2,2,3,2,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,2,10,10,10,10
1,3,2,Choco,1,7,1,4,2,2,4,4,4,1,1,5,2,6,5,2,2,2,2,2,9,9,9,9,1,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,3,3,3,9,9
1,1,2,Sucre,1,3,1,4,2,2,4,4,4,2,2,5,6,0,6,2,1,1,2,1,9,9,9,9,1,Adulto,Estrato bajo,Trabajando,Nunca,Nunca,Nunca,Nunca,3,2,3,9,9,9
2,1,1,La Guajira,1,7,2,2,1,1,4,4,4,2,2,9,5,2,4,1,1,2,2,2,9,9,9,9,2,Joven,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,2,2,10,10,10,10
1,3,2,Casanare,2,1,1,3,2,2,4,4,4,1,2,9,5,3,5,2,2,1,1,1,1,1,1,2,1,Adulto,Estrato bajo,Trabajando,Alguna vez en su vida,Alguna vez en su vida,Nunca,Nunca,3,3,3,3,9,9
2,2,2,Atlantico,2,6,2,4,1,1,4,4,4,1,2,9,2,1,5,1,1,1,2,2,1,9,9,9,1,Joven,Estrato bajo,Otros,Nunca,Nunca,Nunca,Nunca,1,2,3,9,9,9
